Status,Guidance,Ship Name,Manufacturer,Primary Category,Subcategories,Career,Role,Crew Min,Crew Max,"Crew
Compliment",Commander,Pilot,Copilot,Chief Engineer,Engineering Assistant,Primary Turret Gunner,Turret Gunner,Remote Turret Gunner,Marine Lead,Marine Rifleman,Marine Medic,Mining/Salvage/Refueling: Operator,Cargo Logistics,Scanning Operator,Torpedo Operator,Hangar Operations,Doctor (Infirmary),Source Hints,Variants,Notes,Filter Ship Name,Filter Manufacturer,Filter Primary Category,Filter Subcategories,Filter Career,Filter Role,Filter Use Ship?,Filter Review Status,Filter Guidance,Filter Variants,Ship Block,Filter Crew Min,Filter Crew Max
,Small: verify added positions.,100i,Origin Jumpworks,small,exploration,Exploration,Starter / Pathfinder,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 1-1; 2 SCU cargo; Tags: exploration,100i,,,,,,,,,,,,,,
,Small: verify added positions.,100i,Origin Jumpworks,small,exploration,Exploration,Starter / Pathfinder,,,Standard,,1,,,,,,,,,,,,,,,,,100i,,,,,,,,,,,,,,
,Small: verify added positions.,100i,Origin Jumpworks,small,exploration,Exploration,Starter / Pathfinder,,,Full,,1,,,,,,,,,,,,,,,,,100i,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,125a,Origin Jumpworks,light_fighter,,Combat,Light Fighter,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 1-1; 2 SCU cargo,125a,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,125a,Origin Jumpworks,light_fighter,,Combat,Light Fighter,,,Standard,,1,,,,,,,,,,,,,,,,,125a,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,125a,Origin Jumpworks,light_fighter,,Combat,Light Fighter,,,Full,,1,,,,,,,,,,,,,,,,,125a,,,,,,,,,,,,,,
,Small: verify added positions.,135c,Origin Jumpworks,small,cargo_transport,Transporter,Light Freight,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 1-1; 6 SCU cargo; Tags: cargo_transport,135c,,,,,,,,,,,,,,
,Small: verify added positions.,135c,Origin Jumpworks,small,cargo_transport,Transporter,Light Freight,,,Standard,,1,,,,,,,,,,,,,,,,,135c,,,,,,,,,,,,,,
,Small: verify added positions.,135c,Origin Jumpworks,small,cargo_transport,Transporter,Light Freight,,,Full,,1,,,,,,,,,,,,,,,,,135c,,,,,,,,,,,,,,
,Small: verify added positions.,300i,Origin Jumpworks,small,exploration,Exploration,Luxury Touring,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 1-1; 8 SCU cargo; Tags: exploration,300i,,,,,,,,,,,,,,
,Small: verify added positions.,300i,Origin Jumpworks,small,exploration,Exploration,Luxury Touring,,,Standard,,1,,,,,,,,,,,,,,,,,300i,,,,,,,,,,,,,,
,Small: verify added positions.,300i,Origin Jumpworks,small,exploration,Exploration,Luxury Touring,,,Full,,1,,,,,,,,,,,,,,,,,300i,,,,,,,,,,,,,,
